id,department,location,age
1424,Sales,France,26
1427,Marketing,UK,34
1431,Admin,US,39
1436,Operations,US,53
1438,Admin,Germany,36
1443,Admin,France,23
1445,Operations,Germany,50
1447,Engineering,Brasil,47
1449,Operations,Germany,23
1461,Engineering,US,35
1463,IT,US,36
1472,Admin,France,39
1474,Engineering,US,24
1487,Sales,France,31
1488,Admin,Brasil,45
1492,Operations,UK,56
1496,Sales,US,50
1500,Marketing,Germany,48
1508,Operations,US,39
1510,Sales,France,25
1513,IT,US,31
1517,Admin,Germany,58
1520,Admin,US,45
1527,Engineering,US,36
1534,Engineering,US,35
1536,Admin,US,31
1538,Operations,US,55
1539,IT,US,32
1540,Admin,France,57
1543,Operations,US,48
1556,Admin,France,52
1557,Operations,US,43
1561,Sales,US,36
1562,Engineering,US,32
1565,Marketing,US,38
1568,Marketing,UK,35
1569,Admin,US,38
1573,Admin,US,38
1576,IT,Germany,25
1580,Admin,Germany,58
1587,Operations,Germany,45
1596,IT,Brasil,28
1598,Engineering,France,44
1601,Sales,France,53
1603,Engineering,France,48
1605,Engineering,France,56
1607,Admin,Germany,53
1613,Admin,US,25
1616,Admin,Germany,22
1617,Operations,France,39
1624,Operations,France,27
1626,Engineering,France,36
1629,Sales,Brasil,35
1630,Sales,Brasil,27
1641,Sales,France,23
1642,IT,Brasil,33
1646,Admin,UK,30
1647,Admin,Germany,33
1648,Marketing,US,51
1657,Sales,Germany,26
1665,Operations,Brasil,23
1667,Sales,France,41
1669,Sales,France,54
1670,Admin,US,29
1673,Sales,US,40
1675,Sales,US,24
1676,Engineering,Germany,29
1688,IT,France,51
1698,Sales,Brasil,33
1709,Engineering,US,54
1713,IT,Germany,47
1716,Operations,France,46
1717,Admin,Germany,46
1724,Sales,France,45
1730,Admin,US,26
1731,Engineering,US,35
1750,Operations,US,48
1756,Admin,UK,35
1758,Sales,Brasil,43
1761,Operations,US,38
1780,Engineering,US,52
1781,Admin,Brasil,50
1783,IT,France,53
1792,Admin,Germany,26
1796,IT,US,38
1800,Admin,France,23
1801,Admin,Germany,26
1802,Admin,Germany,46
1807,Admin,UK,51
1830,Admin,UK,42
1839,Admin,France,28
1879,Engineering,US,40
1881,Sales,Germany,57
1890,Admin,US,39
