table,field name,code/format,label,note
Accident,pedestrian_crossing_physical_facilities,-1,Data missing or out of range,
Accident,pedestrian_crossing_physical_facilities,9,unknown (self reported),
Accident,light_conditions,1,Daylight,
Accident,light_conditions,4,Darkness - lights lit,
Accident,light_conditions,5,Darkness - lights unlit,
Accident,light_conditions,6,Darkness - no lighting,
Accident,light_conditions,7,Darkness - lighting unknown,
Accident,light_conditions,-1,Data missing or out of range,
Accident,weather_conditions,1,Fine no high winds,
Accident,weather_conditions,2,Raining no high winds,
Accident,weather_conditions,3,Snowing no high winds,
Accident,weather_conditions,4,Fine + high winds,
Accident,weather_conditions,5,Raining + high winds,
Accident,weather_conditions,6,Snowing + high winds,
Accident,weather_conditions,7,Fog or mist,
Accident,weather_conditions,8,Other,
Accident,weather_conditions,9,Unknown,
Accident,weather_conditions,-1,Data missing or out of range,
Accident,road_surface_conditions,1,Dry,
Accident,road_surface_conditions,2,Wet or damp,
Accident,road_surface_conditions,3,Snow,
Accident,road_surface_conditions,4,Frost or ice,
Accident,road_surface_conditions,5,Flood over 3cm. deep,
Accident,road_surface_conditions,6,Oil or diesel,
Accident,road_surface_conditions,7,Mud,
Accident,road_surface_conditions,-1,Data missing or out of range,
Accident,road_surface_conditions,9,unknown (self reported),
Accident,special_conditions_at_site,0,None,
Accident,special_conditions_at_site,1,Auto traffic signal - out,
Accident,special_conditions_at_site,2,Auto signal part defective,
Accident,special_conditions_at_site,3,Road sign or marking defective or obscured,
Accident,special_conditions_at_site,4,Roadworks,
Accident,special_conditions_at_site,5,Road surface defective,
Accident,special_conditions_at_site,6,Oil or diesel,
Accident,special_conditions_at_site,7,Mud,
Accident,special_conditions_at_site,-1,Data missing or out of range,
Accident,special_conditions_at_site,9,unknown (self reported),
Accident,carriageway_hazards,0,None,
Accident,carriageway_hazards,1,Vehicle load on road,
Accident,carriageway_hazards,2,Other object on road,
Accident,carriageway_hazards,3,Previous accident,
Accident,carriageway_hazards,4,Dog on road,
Accident,carriageway_hazards,5,Other animal on road,
Accident,carriageway_hazards,6,Pedestrian in carriageway - not injured,
Accident,carriageway_hazards,7,Any animal in carriageway (except ridden horse),
Accident,carriageway_hazards,-1,Data missing or out of range,
Accident,carriageway_hazards,9,unknown (self reported),
Accident,urban_or_rural_area,1,Urban,field introduced in 1994
Accident,urban_or_rural_area,2,Rural,field introduced in 1994
Accident,urban_or_rural_area,3,Unallocated,field introduced in 1994
Accident,urban_or_rural_area,-1,Data missing or out of range,field introduced in 1994
