date,S&P500,WML,value_factor,portfolio
2016-03-31,-0.20397592480187132,-0.55,-0.19,-0.424867184023627
2016-04-01,0.6330915097686663,0.89,0.57,1.41899897145042
2016-04-04,-0.32083221118300365,0.23,-0.32,-0.7219810891337951
2016-04-05,-1.014449245057428,0.1,-0.66,-0.36005210379348146
2016-04-06,1.0507619189438844,-0.88,1.0,1.2394077430995936
2016-04-07,-1.1975786560861146,0.67,-1.19,-0.6089883197018344
2016-04-08,0.2786578206314941,-0.63,0.33,-0.04026370821268091
2016-04-11,-0.2739786123146736,-0.26,-0.31,-0.8643344582329627
2016-04-12,0.9662134044055808,-1.24,0.96,0.7486019094394122
2016-04-13,1.0040137017230288,-1.29,0.88,-0.09611790667916356
2016-04-14,0.017292717774910475,-0.08,-0.1,-0.2079695364773274
2016-04-15,-0.09842849323767663,0.72,-0.05,0.06550257667661606
2016-04-18,0.6541025568343979,-0.07,0.4,0.4924124453425672
2016-04-19,0.308448519751584,-0.92,-0.04,-0.7260017998325812
2016-04-20,0.07615446318947447,-1.14,0.05,-0.4417057815676805
2016-04-21,-0.5194027068595269,-0.75,-0.61,-0.441697666661771
2016-04-22,0.0047859889148873895,-1.18,0.11,-0.22410145684913393
2016-04-25,-0.1812045849864888,1.2,-0.16,0.6855622922022141
2016-04-26,0.1872751534858758,-0.7,0.16,0.23961230337789188
2016-04-27,0.16493527182762052,0.0,-0.18,-0.048829367428150194
2016-04-28,-0.9230768157227636,0.51,-1.06,0.3204852418838664
2016-04-29,-0.5063088481738572,0.87,-0.47,0.27476082114229816
2016-05-02,0.7809946553678732,0.98,0.86,1.0610314702897385
2016-05-03,-0.8676638460102445,1.33,-0.79,-0.4400069355756968
2016-05-04,-0.5936889314753994,1.22,-0.71,-0.04879684810171248
2016-05-05,-0.023900794299546252,0.28,-0.19,-0.34819037911975886
2016-05-06,0.31746391945076424,0.57,0.45,0.6786620648171353
2016-05-09,0.07534966412709886,0.9,0.22,0.4128181737097757
2016-05-10,1.2483643839788858,-0.62,1.19,1.074781095785123
2016-05-11,-0.9561518249023676,0.42,-1.09,-1.3132546776027556
2016-05-12,-0.01694651417848691,1.13,-0.11,-0.06548123463042127
2016-05-13,-0.8478288992748932,0.37,-0.87,-0.477478453066566
2016-05-16,0.9796652584981904,-0.76,1.06,0.34216227301486557
2016-05-17,-0.9411297372666148,-1.39,-0.94,-1.3367291081979675
2016-05-18,0.0205178759385668,-0.28,-0.38,0.8237968440921868
2016-05-19,-0.3706707745767773,0.37,-0.17,-0.10112990461524342
2016-05-20,0.6019503914256269,-0.85,0.59,0.34039799634161666
2016-05-23,-0.20854588262009888,-0.32,-0.05,-0.5229263011285481
2016-05-24,1.3681382915580749,-0.22,1.33,1.3683793562937656
2016-05-25,0.6974740416216479,-1.36,0.69,0.4250194371590883
2016-05-26,-0.021044370918173544,0.53,0.16,0.11699018590873997
2016-05-27,0.42868573656226977,-0.45,0.35,0.7830996914089992
2016-05-31,-0.10052632800821898,-0.35,-0.07,-0.5670987803600331
2016-06-01,0.11350423498972208,0.07,0.1,0.661228434216836
2016-06-02,0.2824678244809108,-0.41,0.38,0.2539897839979653
2016-06-03,-0.2911814678891068,1.11,-0.08,-0.39235464570624756
2016-06-06,0.4897281051188994,-1.21,0.43,-0.07636059480997291
2016-06-07,0.12894463918682542,-0.08,0.24,-0.2604611656799495
2016-06-08,0.3309566355868269,0.58,0.23,0.1687076799347461
2016-06-09,-0.17177586918261142,1.18,-0.14,0.30210377200611377
2016-06-10,-0.91751811331252,1.42,-0.88,-0.7750680490103925
2016-06-13,-0.8115191023280278,0.35,-0.95,-0.7723703024000139
2016-06-14,-0.17988855029992756,0.74,-0.15,0.27940674127259524
2016-06-15,-0.1840712697237789,-0.24,-0.13,-0.02581903234026496
2016-06-16,0.31329905865315155,0.44,0.31,0.239704027800701
2016-06-17,-0.3257965164692659,-0.69,-0.32,-0.6424676213364285
2016-06-20,0.5808185112367291,-0.24,0.7,0.4552400763026516
2016-06-21,0.2712061442457752,0.34,0.13,0.07491980369490651
2016-06-22,-0.16515635798043402,0.04,-0.16,-0.06919082120593843
2016-06-23,1.3364078570495477,-0.9,1.17,0.7660005003410774
2016-06-24,-3.591979991551379,2.2,-3.3,-1.4100135298138678
2016-06-27,-1.8096502120201108,2.38,-1.78,-0.6167673284457182
2016-06-28,1.7770165208875397,-0.95,1.6,1.47042163030539
2016-06-29,1.7032672710494527,-0.99,1.63,1.325259417374773
2016-06-30,1.3565044272758036,0.5,1.28,0.9515376331342891
2016-07-01,0.19486024753912215,-0.63,0.38,0.2666632633285734
2016-07-05,-0.6847477275031026,1.71,-0.6,0.3908549167109375
2016-07-06,0.5352962934909359,-0.09,0.64,0.23554581301484273
2016-07-07,-0.08715777825870533,-0.86,0.18,-0.3512928174814033
2016-07-08,1.5253349299217422,-0.67,1.47,1.7595378671062623
2016-07-11,0.3408615584790033,-0.28,0.42,0.04931966819185898
2016-07-12,0.7009293462734553,-1.36,0.56,-0.4202041910238763
2016-07-13,0.013476772627251277,0.66,-0.06,0.07787788206742646
2016-07-14,0.5259203949780417,-0.6,0.58,0.628635556102553
2016-07-15,-0.0928947429231642,-0.06,-0.12,-0.35140932906547284
2016-07-18,0.2382295291673813,-0.55,0.26,0.2883192131297055
2016-07-19,-0.14351739837110475,0.4,-0.05,-0.5453388981326361
2016-07-20,0.4270300527854589,-1.05,0.44,0.4366457305769224
2016-07-21,-0.3612529073708161,-0.12,-0.47,-0.08955251331818784
2016-07-22,0.4553964517894301,0.09,0.37,0.5729583457218066
2016-07-25,-0.30114752038671483,-0.3,-0.08,0.015908910188633003
2016-07-26,0.03227846263076587,-0.38,0.0,-0.14273801553299997
2016-07-27,-0.11985423438815265,-0.41,0.13,-0.37533923890592913
2016-07-28,0.16062092674702202,0.24,0.27,0.5956962706738569
2016-07-29,0.16313092282023234,0.34,0.04,0.006896940156198222
2016-08-01,-0.1269787392142437,-0.08,0.22,-0.044224637753569634
2016-08-02,-0.6361619668044342,0.65,-0.91,-0.7346649208208356
2016-08-03,0.3133943389343499,-1.58,0.21,0.6155326122182416
2016-08-04,0.021257191858254098,0.42,0.16,0.3776837442442142
2016-08-05,0.8603496361326275,-1.42,0.8,0.477393417690383
2016-08-08,-0.09071652887538073,-0.18,-0.1,-0.42940250764933274
2016-08-09,0.03897936354918975,0.31,0.02,0.8491411060164684
2016-08-10,-0.28646859977113953,0.69,-0.06,0.2230096469275958
2016-08-11,0.4734588091577449,-0.49,0.54,1.03785616140348
2016-08-12,-0.07960462665462968,-0.13,-0.06,0.20582198346963798
2016-08-15,0.2792908982462685,-0.96,0.41,0.1667653849043749
2016-08-16,-0.5479077020728967,-0.26,-0.57,-0.666741980850063
2016-08-17,0.18685899424381652,0.38,0.11,0.0053058208596841
2016-08-18,0.2199617391366979,0.05,0.14,0.15184443365974426
2016-08-19,-0.14402716807318205,-0.39,-0.02,-0.4183588387645923
2016-08-22,-0.056332287823523626,0.17,0.06,-0.05846758515823173
2016-08-23,0.19517690543742305,-0.51,0.22,0.3150438837323259
2016-08-24,-0.52402768821378,0.04,-0.51,-0.7662674594823358
2016-08-25,-0.1365227301395816,0.47,-0.17,0.05397476580827984
2016-08-26,-0.1578816759626459,-0.3,-0.24,-0.8138356540081495
2016-08-29,0.5228047337119548,0.09,0.33,0.45217350628201125
2016-08-30,-0.1953680655931468,-0.74,-0.33,-0.4542027668437241
2016-08-31,-0.2375864254739728,0.07,-0.12,0.02727112757047074
2016-09-01,-0.004138464820835689,0.6,0.21,0.5210367603512749
2016-09-02,0.4201041315648488,0.27,0.42,0.7369469875275111
2016-09-06,0.2981678758352634,0.4,0.25,0.3984614697808488
2016-09-07,-0.014638505859998409,-0.54,0.0,0.07306555848450169
2016-09-08,-0.2223013501127694,-0.31,-0.63,-0.8267432305027691
2016-09-09,-2.452206885729549,-0.47,-2.54,-2.5693921620526297
2016-09-12,1.467705252539182,0.0,1.54,1.5915812579758906
2016-09-13,-1.4830674013266896,-0.35,-1.11,-1.511059133586298
2016-09-14,-0.058767665007685266,0.28,0.27,0.059252941099345244
2016-09-15,1.0109273250546658,0.05,1.18,0.5296324748690885
2016-09-16,-0.3772294907126729,0.06,-0.25,-0.08025089512880645
2016-09-19,-0.001860309730770861,0.06,-0.17,0.17105186289212154
2016-09-20,0.029913841439488192,0.1,0.15,-0.15697065995123682
2016-09-21,1.0917162154086817,0.68,0.9,1.3228414819381538
2016-09-22,0.6499784681166466,-0.28,0.68,0.683722745898847
2016-09-23,-0.5736774814255415,-0.23,-0.52,-0.5177613915065965
2016-09-26,-0.8587762454059558,0.31,-0.8,-0.253432763396511
2016-09-27,0.6444170061260637,0.18,0.75,1.1261388860033401
2016-09-28,0.5296553758763496,-0.25,0.23,-0.20181714057852596
2016-09-29,-0.9321411325290326,0.12,-0.8,-1.2033115276527035
2016-09-30,0.7967969361336945,-0.32,0.89,0.36506543313752693
2016-10-03,-0.3260695824222057,-0.15,-0.23,-0.06516385940269867
2016-10-04,-0.4955562300028954,-0.83,-0.52,-0.4889890951124749
2016-10-05,0.4296690541675125,-0.62,0.32,0.21459494360190765
2016-10-06,0.04815601994837626,0.25,-0.03,0.35656202218059485
2016-10-07,-0.325348368171079,0.13,-0.56,-0.9584228482554785
2016-10-10,0.4605905098135845,-0.1,0.37,0.7162103972399833
2016-10-11,-1.2446471763257407,-0.13,-1.09,-1.3044230133666843
2016-10-12,0.11465894253984955,0.49,0.22,-0.05208163812035965
2016-10-13,-0.3099263835091018,0.41,-0.11,1.0735646742113714
2016-10-14,0.0201604178153628,-0.1,0.01,0.03830919636055469
2016-10-17,-0.30379938212078617,0.36,-0.31,-0.702792545087236
2016-10-18,0.6160403479896491,-0.1,0.35,1.2301254274195559
2016-10-19,0.2191970828746938,-0.21,0.01,0.09114031573631393
2016-10-20,-0.1375723874264593,-0.45,-0.35,-0.2686299065164607
2016-10-21,-0.008414170220300228,-0.18,-0.08,1.0327482133565007
2016-10-24,0.4749839534638122,0.15,0.71,0.7043099389913605
2016-10-25,-0.37977277794560177,0.34,-0.47,-0.6877161323765468
2016-10-26,-0.17404114266579604,-0.55,-0.31,-0.9484853039746485
2016-10-27,-0.2986726933387613,-0.31,-0.3,-1.5713683485693732
2016-10-28,-0.3108299365589125,0.35,-0.58,1.4406637957387374
2016-10-31,-0.012227651805639516,0.52,-0.03,0.45733722379246083
2016-11-01,-0.6786883176217423,-0.03,-0.77,-0.9436177985646079
2016-11-02,-0.6525500629458174,0.04,-0.36,-0.07609932057793865
2016-11-03,-0.4423400698294829,0.71,-0.56,-1.3519533132398598
2016-11-04,-0.16661305078948,-0.39,-0.24,-0.1029940658423243
2016-11-07,2.222354401596069,-0.43,2.13,2.2526608505731747
2016-11-08,0.3771974424148256,0.6,0.52,0.8975339328896991
2016-11-09,1.1077020670818225,-1.83,1.01,-0.2002234450485103
2016-11-10,0.1950745624886813,-2.51,-0.1,-0.7576151462245335
2016-11-11,-0.13979501669953198,-0.83,0.12,-0.17214954969336554
2016-11-14,-0.011550278623190026,-1.23,-0.25,-0.45662064883456355
2016-11-15,0.7480797692708188,1.09,0.59,0.9555814617525357
2016-11-16,-0.15822638011099693,0.46,0.27,0.39652219982293113
2016-11-17,0.4676369709732981,-0.42,0.5,0.5305483606050818
2016-11-18,-0.23867984933359196,0.14,-0.15,-0.5160595089607973
2016-11-21,0.7461400949272281,0.57,0.84,0.5536506015154179
2016-11-22,0.21654319242507225,0.13,0.59,0.9876323790855608
2016-11-23,0.0808024752228094,-0.37,0.11,0.1575472993438715
2016-11-25,0.3914386912404805,-0.13,0.43,0.3784864706594948
2016-11-28,-0.5254535651865005,0.51,-0.46,-0.6429983653863397
2016-11-29,0.13352928795321764,0.08,0.16,0.45906399356677485
2016-11-30,-0.26534038053485354,0.45,-0.9,-1.284819841577473
2016-12-01,-0.3515529214704194,-0.4,-0.47,-1.188168922026935
2016-12-02,0.03970064849451376,0.58,0.05,3.8986886624767387
2016-12-05,0.5821305360635018,-0.21,0.35,0.41870127091852116
2016-12-06,0.3410888113640653,-0.47,0.35,0.3299140185747787
2016-12-07,1.3163241734930209,0.11,1.48,1.1899995790101672
2016-12-08,0.2159342712376298,-0.36,0.07,-0.18259306279165965
2016-12-09,0.5938984836723531,-0.82,0.54,0.2930336659620527
2016-12-12,-0.11374347616603382,0.17,-0.24,0.027428436540892557
2016-12-13,0.6539774854251376,-0.08,0.71,0.801328725826545
2016-12-14,-0.8117172114256144,-0.25,-0.74,-0.4032595616228986
2016-12-15,0.388322795541894,0.05,0.29,0.6091261868180416
2016-12-16,-0.17506226483432866,-0.65,-0.2,0.22138965177257786
2016-12-19,0.1975120729513173,0.03,0.3,-0.13686506638925106
2016-12-20,0.3637512384150528,0.31,0.45,-0.24703364013824322
2016-12-21,-0.24573614012164846,0.24,-0.26,-0.020228012216620045
2016-12-22,-0.18629738593322426,0.17,-0.37,-0.5002131006992273
2016-12-23,0.12517152222139494,-0.35,0.07,0.4381525752292687
2016-12-27,0.2248372822705768,0.14,0.27,0.4304114357023392
2016-12-28,-0.8356529202828483,0.08,-0.69,-0.9035247790133049
2016-12-29,-0.029330466100032013,0.02,0.0,0.23595426397257274
2016-12-30,-0.4637050387073751,-0.21,-0.65,-0.8055509675397557
