date,GE,JPM,MSFT,PG
2015-08-27,25.01,64.48,43.9,71.48
2015-08-28,25.16,64.13,43.93,71.21
2015-08-31,24.82,64.1,43.52,70.67
2015-09-01,23.88,61.45,41.82,68.9
2015-09-02,24.57,62.57,43.36,69.81
2015-09-03,24.51,62.68,43.5,69.93
2015-09-04,24.0,61.5,42.61,68.76
2015-09-08,24.96,63.16,43.89,69.98
2015-09-09,24.55,62.18,43.07,68.48
2015-09-10,24.68,62.66,43.29,68.32
2015-09-11,24.95,62.56,43.48,68.42
2015-09-14,24.77,62.38,43.04,68.06
2015-09-15,25.3,63.58,43.98,69.45
2015-09-16,25.93,64.14,44.3,70.1
2015-09-17,25.35,62.65,44.25,70.24
2015-09-18,24.8,60.94,43.48,69.94
2015-09-21,25.09,61.45,44.11,70.65
2015-09-22,25.11,60.91,43.9,70.19
2015-09-23,25.14,60.64,43.87,70.26
2015-09-24,24.91,60.22,43.91,71.36
2015-09-25,24.92,61.47,43.94,72.67
2015-09-28,24.31,59.98,43.29,71.77
2015-09-29,24.57,59.84,43.44,72.28
2015-09-30,25.22,60.97,44.2,71.94
2015-10-01,25.19,61.42,44.61,71.95
2015-10-02,25.47,60.81,45.57,72.42
2015-10-05,26.82,62.02,46.63,73.22
2015-10-06,27.29,62.05,46.75,73.4
2015-10-07,27.77,62.13,46.8,73.72
2015-10-08,28.03,62.13,47.45,74.4
2015-10-09,28.07,61.93,47.11,74.48
2015-10-12,28.09,61.72,47.0,74.33
2015-10-13,27.87,61.55,46.89,74.11
2015-10-14,27.6,59.99,46.68,74.21
2015-10-15,28.03,61.89,47.01,74.27
2015-10-16,28.98,62.43,47.51,74.9
2015-10-19,28.99,62.22,47.62,75.16
2015-10-20,28.78,62.52,47.77,74.43
2015-10-21,28.85,62.06,47.2,73.59
2015-10-22,29.58,63.19,48.03,74.85
2015-10-23,29.51,63.87,52.87,77.03
2015-10-26,29.55,63.9,54.25,77.49
2015-10-27,29.46,63.64,53.69,77.29
2015-10-28,29.39,65.5,53.98,76.51
2015-10-29,29.34,65.21,53.36,77.02
2015-10-30,28.92,64.25,52.64,76.38
2015-11-02,29.4,65.54,53.24,76.6
2015-11-03,29.59,65.78,54.15,77.05
2015-11-04,29.54,65.85,54.4,77.06
2015-11-05,29.64,66.44,54.38,76.39
2015-11-06,29.92,68.46,54.92,75.57
2015-11-09,29.75,67.39,54.16,75.4
2015-11-10,30.12,67.68,53.51,75.77
2015-11-11,30.67,67.35,53.65,75.96
2015-11-12,30.16,66.0,53.32,74.66
2015-11-13,30.28,65.56,52.84,73.96
2015-11-16,30.36,66.51,53.765,75.3
2015-11-17,30.32,66.13,52.97,75.07
2015-11-18,30.52,67.45,53.85,75.9
2015-11-19,30.27,67.66,53.94,76.22
2015-11-20,30.66,67.54,54.19,75.82
2015-11-23,30.59,66.88,54.19,75.97
2015-11-24,30.66,66.78,54.25,76.45
2015-11-25,30.36,66.86,53.69,75.9
2015-11-27,30.36,67.17,53.93,75.7
2015-11-30,29.94,66.68,54.35,74.84
2015-12-01,30.17,67.61,55.22,75.94
2015-12-02,29.97,66.66,55.21,75.79
2015-12-03,30.03,65.8,54.2,75.74
2015-12-04,30.49,67.89,55.91,77.83
2015-12-07,30.37,67.0,55.81,78.37
2015-12-08,30.19,65.96,55.79,77.75
2015-12-09,30.47,65.46,54.98,77.7
2015-12-10,30.65,65.61,55.27,77.79
2015-12-11,30.26,64.07,54.06,77.78
2015-12-14,30.26,64.27,55.14,78.29
2015-12-15,30.32,66.1,55.2,79.68
2015-12-16,30.98,67.53,56.13,80.99
2015-12-17,30.55,66.28,55.7,80.29
2015-12-18,30.28,64.4,54.13,78.13
2015-12-21,30.4,65.54,54.83,78.95
2015-12-22,30.49,65.68,55.35,79.6
2015-12-23,30.95,66.73,55.82,79.92
2015-12-24,30.83,66.6,55.67,79.79
2015-12-28,30.9,66.38,55.95,79.92
2015-12-29,31.28,67.07,56.55,80.36
2015-12-30,31.05,66.59,56.31,80.07
2015-12-31,31.15,66.03,55.48,79.41
2016-01-04,30.71,63.62,54.8,78.37
2016-01-05,30.74,63.73,55.05,78.62
2016-01-06,30.25,62.81,54.05,77.86
2016-01-07,28.97,60.27,52.17,77.18
2016-01-08,28.45,58.92,52.33,75.97
2016-01-11,28.58,58.83,52.3,76.67
2016-01-12,28.64,58.96,52.78,76.51
2016-01-13,28.24,57.34,51.64,75.85
2016-01-14,29.06,58.2,53.11,76.15
2016-01-15,28.49,57.04,50.99,74.98
2016-01-19,28.49,57.01,50.56,76.73
2016-01-20,28.0,55.51,50.79,75.83
2016-01-21,28.59,55.25,50.48,76.72
2016-01-22,28.24,56.95,52.29,77.36
2016-01-25,28.04,55.66,51.79,76.85
2016-01-26,28.31,57.08,52.17,78.81
2016-01-27,28.0,57.04,51.22,78.8
2016-01-28,28.21,57.28,52.055,79.82
2016-01-29,29.1,59.5,55.09,81.69
2016-02-01,28.64,58.86,54.71,81.12
2016-02-02,28.24,57.03,53.0,80.22
2016-02-03,28.67,57.41,52.16,81.1
2016-02-04,29.18,58.4,52.0,80.7
2016-02-05,28.54,57.75,50.16,81.2
2016-02-08,28.17,56.54,49.41,82.62
2016-02-09,28.28,56.2,49.28,82.64
2016-02-10,28.3,55.52,49.71,81.62
2016-02-11,27.45,53.07,49.69,79.9
2016-02-12,28.26,57.49,50.5,80.99
2016-02-16,28.86,58.35,51.09,81.47
2016-02-17,29.34,58.77,52.42,82.45
2016-02-18,29.08,57.81,52.19,81.98
2016-02-19,29.02,57.82,51.82,81.79
2016-02-22,29.41,58.57,52.65,82.13
2016-02-23,29.22,56.12,51.18,81.81
2016-02-24,28.96,56.14,51.36,81.56
2016-02-25,29.23,57.01,52.1,82.34
2016-02-26,29.4,57.54,51.3,81.1
2016-02-29,29.14,56.3,50.88,80.29
2016-03-01,29.88,59.2,52.58,81.23
2016-03-02,30.18,59.76,52.95,82.55
2016-03-03,30.22,59.96,52.35,82.84
2016-03-04,30.46,60.05,52.03,83.49
2016-03-07,30.29,59.94,51.03,83.1
2016-03-08,30.06,58.78,51.65,83.06
2016-03-09,30.05,59.12,52.84,82.96
2016-03-10,29.94,58.61,52.05,82.28
2016-03-11,30.34,59.34,53.07,81.75
2016-03-14,30.27,59.12,53.17,81.17
2016-03-15,30.28,59.2,53.59,81.31
2016-03-16,30.17,58.92,54.35,81.34
2016-03-17,30.96,58.75,54.66,82.75
2016-03-18,30.92,60.48,53.49,83.15
2016-03-21,31.09,60.46,53.86,83.32
2016-03-22,31.06,60.24,54.07,82.74
2016-03-23,31.07,59.94,53.97,82.82
2016-03-24,31.11,59.48,54.21,82.89
2016-03-28,31.49,59.4,53.54,82.62
2016-03-29,31.48,59.03,54.71,82.8
2016-03-30,31.83,59.71,55.05,82.68
2016-03-31,31.79,59.22,55.23,82.31
2016-04-01,31.93,59.87,55.57,83.53
2016-04-04,31.23,59.2,55.43,83.21
2016-04-05,30.98,58.36,54.56,83.16
2016-04-06,30.9,58.81,55.12,83.81
2016-04-07,30.63,57.32,54.46,83.24
2016-04-08,30.79,57.74,54.42,83.2
2016-04-11,30.71,58.2,54.31,82.73
2016-04-12,30.81,59.28,54.65,82.83
2016-04-13,30.98,61.79,55.35,82.46
2016-04-14,31.02,62.59,55.36,82.01
2016-04-15,31.03,61.87,55.65,82.3
2016-04-18,31.06,62.27,56.46,82.83
2016-04-19,31.15,63.32,56.39,83.28
2016-04-20,31.15,64.24,55.59,81.55
2016-04-21,30.98,63.6,55.78,80.8
2016-04-22,30.76,63.97,51.78,80.95
2016-04-25,30.68,63.6,52.11,81.41
2016-04-26,30.9,63.93,51.44,79.55
2016-04-27,30.93,64.11,50.94,79.89
2016-04-28,30.9,63.6,49.9,79.76
2016-04-29,30.75,63.2,49.87,80.12
2016-05-02,30.89,63.79,50.61,80.97
2016-05-03,30.63,62.56,49.78,81.1
2016-05-04,30.07,61.57,49.87,81.6
2016-05-05,29.89,61.24,49.94,81.3
2016-05-06,30.12,61.6,50.39,82.13
2016-05-09,29.87,61.21,50.07,82.12
2016-05-10,30.48,62.04,51.02,82.48
2016-05-11,30.34,61.81,51.05,82.15
2016-05-12,30.09,61.77,51.51,82.41
2016-05-13,29.64,61.2,51.08,81.23
2016-05-16,29.96,61.66,51.83,81.63
2016-05-17,29.71,61.66,50.51,80.62
2016-05-18,29.61,64.04,50.81,79.85
2016-05-19,29.36,63.39,50.32,80.19
2016-05-20,29.56,63.51,50.62,80.02
2016-05-23,29.49,63.46,50.03,80.2
2016-05-24,29.85,64.54,51.59,80.97
2016-05-25,30.09,65.52,52.12,81.48
2016-05-26,30.02,65.03,51.89,81.22
2016-05-27,30.12,65.43,52.32,81.43
2016-05-31,30.23,65.27,53.0,81.04
2016-06-01,30.11,65.69,52.85,81.79
2016-06-02,30.05,65.81,52.48,81.95
2016-06-03,29.94,64.64,51.79,82.47
2016-06-06,30.12,65.28,52.13,82.77
2016-06-07,30.14,65.06,52.1,82.32
2016-06-08,30.31,65.25,52.04,82.65
2016-06-09,30.24,64.75,51.62,83.17
2016-06-10,30.04,63.84,51.48,83.2
2016-06-13,29.83,63.27,50.14,82.57
2016-06-14,30.44,62.08,49.83,83.35
2016-06-15,30.59,61.97,49.69,82.95
2016-06-16,30.64,62.22,50.39,83.41
2016-06-17,30.6,62.28,50.13,83.13
2016-06-20,30.83,62.37,50.07,83.04
2016-06-21,30.94,62.95,51.19,83.41
2016-06-22,30.78,62.71,50.99,83.57
2016-06-23,31.19,64.05,51.91,84.21
2016-06-24,29.82,59.6,49.83,82.26
2016-06-27,29.32,57.61,48.43,81.23
2016-06-28,29.94,59.52,49.44,82.46
2016-06-29,30.55,61.2,50.54,83.91
2016-06-30,31.48,62.14,51.17,84.67
2016-07-01,31.49,61.26,51.16,84.78
2016-07-05,31.45,59.55,51.17,85.44
2016-07-06,31.74,60.19,51.38,85.03
2016-07-07,31.82,60.58,51.38,84.83
2016-07-08,32.2,61.83,52.3,85.77
2016-07-11,32.21,62.27,52.59,85.75
2016-07-12,32.26,63.2,53.21,85.75
2016-07-13,32.36,63.16,53.51,85.89
2016-07-14,32.63,64.12,53.74,85.87
2016-07-15,32.88,64.18,53.7,86.01
2016-07-18,32.91,63.96,53.96,85.93
2016-07-19,32.93,63.86,53.09,86.17
2016-07-20,32.78,63.93,55.91,85.32
2016-07-21,32.59,63.69,55.8,85.26
2016-07-22,32.06,64.04,56.57,85.72
2016-07-25,31.64,63.87,56.73,85.8
2016-07-26,31.47,64.13,56.76,85.27
2016-07-27,31.28,64.33,56.19,84.46
2016-07-28,31.25,64.1,56.21,84.81
2016-07-29,31.14,63.97,56.68,85.59
2016-08-01,31.15,63.8,56.58,86.41
2016-08-02,31.05,63.65,56.58,86.76
2016-08-03,31.13,64.66,56.97,85.97
2016-08-04,31.17,64.56,57.39,86.05
2016-08-05,31.28,66.3,57.96,85.78
2016-08-08,31.27,66.1,58.06,85.76
2016-08-09,31.3,65.87,58.2,85.99
2016-08-10,31.27,65.28,58.02,86.31
2016-08-11,31.29,65.46,58.3,86.73
2016-08-12,31.24,65.32,57.94,87.04
2016-08-15,31.24,65.72,58.12,87.02
2016-08-16,31.19,65.71,57.44,86.58
2016-08-17,31.29,65.89,57.56,86.96
2016-08-18,31.43,65.95,57.6,87.44
2016-08-19,31.25,65.86,57.62,87.31
2016-08-22,31.32,65.8,57.67,86.85
2016-08-23,31.23,65.77,57.89,87.4
2016-08-24,31.22,65.95,57.95,87.31
2016-08-25,31.21,66.07,58.17,87.9
2016-08-26,31.23,66.22,58.03,87.58
2016-08-29,31.36,66.95,58.1,88.3
2016-08-30,31.37,67.5,57.89,87.54
2016-08-31,31.24,67.5,57.46,87.31
2016-09-01,31.2,67.21,57.59,88.31
2016-09-02,31.29,67.49,57.67,88.2
2016-09-06,31.05,67.44,57.61,88.64
2016-09-07,31.06,67.16,57.66,87.95
2016-09-08,31.04,67.25,57.43,87.78
2016-09-09,30.11,66.65,56.21,86.24
2016-09-12,30.49,67.06,57.05,88.25
2016-09-13,29.85,66.53,56.53,87.05
2016-09-14,29.7,66.4,56.26,87.01
2016-09-15,29.75,66.64,57.19,88.06
2016-09-16,29.68,65.82,57.25,88.05
2016-09-19,29.43,66.19,56.93,88.37
2016-09-20,29.67,66.46,56.81,88.58
2016-09-21,29.85,66.84,57.76,87.8
2016-09-22,30.04,67.39,57.82,88.99
2016-09-23,29.89,67.25,57.43,87.76
2016-09-26,29.54,65.78,56.9,87.85
2016-09-27,29.88,66.36,57.95,88.36
2016-09-28,29.9,66.71,58.03,89.46
2016-09-29,29.53,65.65,57.4,88.23
2016-09-30,29.62,66.59,57.6,89.75
2016-10-03,29.64,66.51,57.42,88.66
2016-10-04,29.5,66.6,57.24,88.35
2016-10-05,29.5,67.69,57.64,88.85
2016-10-06,29.27,67.87,57.74,89.22
2016-10-07,29.08,68.11,57.8,90.0
2016-10-10,28.86,68.64,58.04,89.06
2016-10-11,28.92,68.31,57.19,88.54
2016-10-12,28.9,68.13,57.11,88.57
2016-10-13,28.77,67.74,56.92,88.24
2016-10-14,28.89,67.52,57.42,88.43
2016-10-17,28.85,67.17,57.22,87.83
2016-10-18,28.98,67.7,57.66,87.45
2016-10-19,29.06,68.35,57.53,85.54
2016-10-20,29.07,68.26,57.25,84.93
2016-10-21,28.98,68.49,59.66,84.33
2016-10-24,28.92,68.87,61.0,84.1
2016-10-25,28.65,68.8,60.99,86.97
2016-10-26,28.87,69.13,60.63,87.4
2016-10-27,28.63,69.23,60.1,86.58
2016-10-28,29.22,69.11,59.87,86.84
2016-10-31,29.1,69.26,59.92,86.8
2016-11-01,28.88,68.97,59.8,86.85
2016-11-02,28.49,68.68,59.43,86.74
2016-11-03,28.28,68.38,59.21,86.6
2016-11-04,28.44,67.76,58.71,85.08
2016-11-07,29.31,69.88,60.42,86.56
2016-11-08,29.42,70.03,60.47,87.46
2016-11-09,29.63,73.25,60.17,85.93
2016-11-10,30.41,76.65,58.7,82.96
2016-11-11,30.71,76.69,59.02,83.58
2016-11-14,30.51,79.51,58.12,83.0
2016-11-15,30.75,79.36,58.87,83.62
2016-11-16,30.74,77.4,59.65,83.19
2016-11-17,30.79,78.02,60.64,83.07
2016-11-18,30.67,77.71,60.35,82.0
2016-11-21,30.87,78.05,60.86,82.64
2016-11-22,31.18,78.53,61.12,82.76
2016-11-23,31.34,78.86,60.4,82.68
2016-11-25,31.44,78.83,60.53,83.46
2016-11-28,31.25,78.32,60.61,83.07
2016-11-29,31.05,78.92,61.09,82.89
2016-11-30,30.76,80.17,60.26,82.46
2016-12-01,31.39,81.79,59.2,81.86
2016-12-02,31.34,81.6,59.25,82.4
2016-12-05,31.11,83.26,60.22,82.99
2016-12-06,31.17,83.69,59.95,82.91
2016-12-07,31.6,84.07,61.37,84.18
2016-12-08,31.53,85.12,61.01,83.5
2016-12-09,31.78,85.49,61.97,84.37
2016-12-12,31.86,84.73,62.17,85.13
2016-12-13,31.74,84.76,62.98,85.18
2016-12-14,31.5,84.73,62.68,84.37
2016-12-15,31.26,86.0,62.58,84.68
2016-12-16,31.75,84.94,62.3,84.68
2016-12-19,31.92,85.43,63.62,84.71
2016-12-20,32.25,86.53,63.54,84.57
2016-12-21,32.13,86.75,63.54,84.28
2016-12-22,31.82,86.89,63.55,84.47
2016-12-23,31.88,87.05,63.24,84.96
2016-12-27,31.9,87.13,63.28,84.6
2016-12-28,31.7,86.5,62.99,84.07
2016-12-29,31.71,85.89,62.9,84.35
2016-12-30,31.6,86.29,62.14,84.08
2017-01-03,31.69,87.23,62.58,84.2
2017-01-04,31.7,86.91,62.3,84.5
2017-01-05,31.52,86.11,62.3,85.06
2017-01-06,31.61,86.12,62.84,85.03
2017-01-09,31.46,86.18,62.64,84.4
2017-01-10,31.37,86.43,62.62,83.49
2017-01-11,31.47,87.08,63.19,83.75
2017-01-12,31.39,86.24,62.61,83.84
2017-01-13,31.36,86.7,62.7,84.01
2017-01-17,31.27,83.55,62.53,85.21
2017-01-18,31.23,83.94,62.5,84.93
2017-01-19,31.21,83.3,62.3,84.7
2017-01-20,30.53,83.67,62.74,87.45
2017-01-23,29.75,83.71,62.96,86.96
2017-01-24,30.0,84.72,63.52,87.86
2017-01-25,30.37,86.03,63.68,87.16
2017-01-26,30.32,86.75,64.27,86.6
2017-01-27,30.01,86.93,65.78,86.72
2017-01-30,29.96,86.03,65.13,86.75
2017-01-31,29.7,84.63,64.65,87.6
2017-02-01,29.69,84.95,63.58,87.33
2017-02-02,29.68,84.59,63.17,87.76
2017-02-03,29.7,87.18,63.68,87.41
2017-02-06,29.66,86.77,63.64,87.4
2017-02-07,29.56,86.72,63.43,88.01
2017-02-08,29.43,85.96,63.34,88.33
2017-02-09,29.59,87.2,64.06,88.67
2017-02-10,29.72,87.0,64.0,87.97
2017-02-13,30.04,88.15,64.72,88.31
2017-02-14,30.28,89.56,64.57,87.86
2017-02-15,30.35,90.59,64.53,91.12
2017-02-16,30.45,90.53,64.52,90.79
2017-02-17,30.37,90.23,64.62,91.09
2017-02-21,30.52,91.01,64.49,91.67
2017-02-22,30.33,91.06,64.36,91.44
2017-02-23,30.02,91.13,64.62,91.13
2017-02-24,30.19,90.33,64.62,91.05
2017-02-27,29.94,90.43,64.23,90.89
2017-02-28,29.81,90.62,63.98,91.07
2017-03-01,30.19,93.6,64.94,91.66
2017-03-02,30.19,92.14,64.01,90.91
2017-03-03,30.12,92.8,64.25,90.5
2017-03-06,30.0,91.92,64.27,90.37
2017-03-07,29.86,91.41,64.4,90.29
2017-03-08,29.8,91.21,64.99,90.14
2017-03-09,29.66,91.57,64.73,90.34
2017-03-10,30.28,91.28,64.93,91.07
2017-03-13,29.86,91.36,64.71,91.31
2017-03-14,29.54,91.51,64.41,91.0
2017-03-15,29.76,91.73,64.75,91.4
2017-03-16,29.75,91.64,64.64,91.44
2017-03-17,29.88,90.68,64.87,91.0
2017-03-20,29.74,90.03,64.93,91.22
2017-03-21,29.39,87.39,64.21,91.19
2017-03-22,29.53,87.53,65.03,90.99
2017-03-23,29.62,87.39,64.87,90.77
2017-03-24,29.72,87.29,64.98,90.57
2017-03-27,29.44,87.24,65.1,90.49
2017-03-28,29.62,88.6,65.29,90.76
2017-03-29,29.68,88.27,65.47,90.6
2017-03-30,29.87,89.03,65.71,90.2
2017-03-31,29.8,87.84,65.86,89.85
2017-04-03,29.88,87.52,65.55,89.68
2017-04-04,30.02,87.31,65.73,89.91
2017-04-05,29.97,86.19,65.56,89.97
2017-04-06,29.93,86.48,65.73,89.4
2017-04-07,29.99,86.18,65.68,89.23
2017-04-10,30.01,85.88,65.53,89.49
2017-04-11,30.04,85.73,65.48,89.8
2017-04-12,29.77,85.4,65.23,90.31
2017-04-13,29.56,84.4,64.95,90.03
2017-04-17,29.64,85.86,65.48,90.39
2017-04-18,29.84,85.16,65.39,90.8
2017-04-19,30.0,84.46,65.04,89.6
2017-04-20,30.27,85.55,65.5,89.33
2017-04-21,29.55,84.52,66.4,88.62
2017-04-24,29.55,87.5,67.53,89.55
2017-04-25,29.45,88.26,67.92,90.01
2017-04-26,29.26,88.43,67.83,87.74
2017-04-27,29.08,87.61,68.27,87.69
2017-04-28,28.99,87.0,68.46,87.33
2017-05-01,28.94,87.06,69.41,87.09
2017-05-02,28.99,86.5,69.3,86.22
2017-05-03,29.23,87.0,69.08,86.43
2017-05-04,29.2,87.1,68.81,86.45
2017-05-05,29.22,87.0,69.0,86.5
2017-05-08,29.07,87.1,68.94,86.55
2017-05-09,28.93,86.75,69.04,86.4
2017-05-10,28.7,87.43,69.31,86.49
2017-05-11,28.87,87.16,68.46,86.17
2017-05-12,28.27,86.92,68.38,86.19
2017-05-15,28.18,87.34,68.43,86.33
2017-05-16,28.04,87.61,69.41,86.24
2017-05-17,27.41,84.27,67.48,86.26
2017-05-18,27.48,83.96,67.71,85.87
2017-05-19,28.05,84.78,67.69,86.24
2017-05-22,28.18,84.7,68.45,86.21
2017-05-23,28.28,85.76,68.68,86.08
2017-05-24,27.83,85.71,68.77,86.5
2017-05-25,27.49,85.35,69.62,86.86
2017-05-26,27.45,85.36,69.97,87.25
2017-05-30,27.36,83.9,70.41,87.4
2017-05-31,27.38,82.15,69.84,88.09
