GeoFips,GeoName,LineCode,Description,Income
1035,"Conecuh, AL",1,Personal income (thousands of dollars),375641
1035,"Conecuh, AL",2,Population (persons) 1/,12672
1035,"Conecuh, AL",3,Per capita personal income (dollars) 2/,29643
1037,"Coosa, AL",1,Personal income (thousands of dollars),307254
1037,"Coosa, AL",2,Population (persons) 1/,10724
1037,"Coosa, AL",3,Per capita personal income (dollars) 2/,28651
1039,"Covington, AL",1,Personal income (thousands of dollars),1194877
1039,"Covington, AL",2,Population (persons) 1/,37835
1039,"Covington, AL",3,Per capita personal income (dollars) 2/,31581
1041,"Crenshaw, AL",1,Personal income (thousands of dollars),477930
1041,"Crenshaw, AL",2,Population (persons) 1/,13963
1041,"Crenshaw, AL",3,Per capita personal income (dollars) 2/,34228
1043,"Cullman, AL",1,Personal income (thousands of dollars),2945902
1043,"Cullman, AL",2,Population (persons) 1/,82005
1043,"Cullman, AL",3,Per capita personal income (dollars) 2/,35923
1045,"Dale, AL",1,Personal income (thousands of dollars),1690534
1045,"Dale, AL",2,Population (persons) 1/,49565
1045,"Dale, AL",3,Per capita personal income (dollars) 2/,34107
1047,"Dallas, AL",1,Personal income (thousands of dollars),1299525
1047,"Dallas, AL",2,Population (persons) 1/,41131
1047,"Dallas, AL",3,Per capita personal income (dollars) 2/,31595
1049,"DeKalb, AL",1,Personal income (thousands of dollars),2106922
1049,"DeKalb, AL",2,Population (persons) 1/,71130
1049,"DeKalb, AL",3,Per capita personal income (dollars) 2/,29621
1051,"Elmore, AL",1,Personal income (thousands of dollars),3060059
1051,"Elmore, AL",2,Population (persons) 1/,81468
1051,"Elmore, AL",3,Per capita personal income (dollars) 2/,37561
1053,"Escambia, AL",1,Personal income (thousands of dollars),1146587
1053,"Escambia, AL",2,Population (persons) 1/,37789
1053,"Escambia, AL",3,Per capita personal income (dollars) 2/,30342
1055,"Etowah, AL",1,Personal income (thousands of dollars),3512766
1055,"Etowah, AL",2,Population (persons) 1/,103057
1055,"Etowah, AL",3,Per capita personal income (dollars) 2/,34086
1057,"Fayette, AL",1,Personal income (thousands of dollars),509917
1057,"Fayette, AL",2,Population (persons) 1/,16759
1057,"Fayette, AL",3,Per capita personal income (dollars) 2/,30426
1059,"Franklin, AL",1,Personal income (thousands of dollars),1002037
1059,"Franklin, AL",2,Population (persons) 1/,31696
1059,"Franklin, AL",3,Per capita personal income (dollars) 2/,31614
1061,"Geneva, AL",1,Personal income (thousands of dollars),861013
1061,"Geneva, AL",2,Population (persons) 1/,26777
1061,"Geneva, AL",3,Per capita personal income (dollars) 2/,32155
1063,"Greene, AL",1,Personal income (thousands of dollars),263091
1063,"Greene, AL",2,Population (persons) 1/,8479
1063,"Greene, AL",3,Per capita personal income (dollars) 2/,31029
1065,"Hale, AL",1,Personal income (thousands of dollars),523248
1065,"Hale, AL",2,Population (persons) 1/,15068
1065,"Hale, AL",3,Per capita personal income (dollars) 2/,34726
1067,"Henry, AL",1,Personal income (thousands of dollars),615259
1067,"Henry, AL",2,Population (persons) 1/,17221
1067,"Henry, AL",3,Per capita personal income (dollars) 2/,35727
1069,"Houston, AL",1,Personal income (thousands of dollars),3988192
1069,"Houston, AL",2,Population (persons) 1/,104173
1069,"Houston, AL",3,Per capita personal income (dollars) 2/,38284
1071,"Jackson, AL",1,Personal income (thousands of dollars),1778554
1071,"Jackson, AL",2,Population (persons) 1/,52419
1071,"Jackson, AL",3,Per capita personal income (dollars) 2/,33930
1073,"Jefferson, AL",1,Personal income (thousands of dollars),31511663
1073,"Jefferson, AL",2,Population (persons) 1/,660367
1073,"Jefferson, AL",3,Per capita personal income (dollars) 2/,47718
1075,"Lamar, AL",1,Personal income (thousands of dollars),424811
1075,"Lamar, AL",2,Population (persons) 1/,13886
1075,"Lamar, AL",3,Per capita personal income (dollars) 2/,30593
1077,"Lauderdale, AL",1,Personal income (thousands of dollars),3258402
1077,"Lauderdale, AL",2,Population (persons) 1/,92596
1077,"Lauderdale, AL",3,Per capita personal income (dollars) 2/,35189
1079,"Lawrence, AL",1,Personal income (thousands of dollars),1070293
1079,"Lawrence, AL",2,Population (persons) 1/,33115
1079,"Lawrence, AL",3,Per capita personal income (dollars) 2/,32320
1081,"Lee, AL",1,Personal income (thousands of dollars),5278429
1081,"Lee, AL",2,Population (persons) 1/,156993
1081,"Lee, AL",3,Per capita personal income (dollars) 2/,33622
1083,"Limestone, AL",1,Personal income (thousands of dollars),3415333
1083,"Limestone, AL",2,Population (persons) 1/,91663
1083,"Limestone, AL",3,Per capita personal income (dollars) 2/,37260
1085,"Lowndes, AL",1,Personal income (thousands of dollars),394472
1085,"Lowndes, AL",2,Population (persons) 1/,10458
1085,"Lowndes, AL",3,Per capita personal income (dollars) 2/,37720
1087,"Macon, AL",1,Personal income (thousands of dollars),595902
1087,"Macon, AL",2,Population (persons) 1/,19105
1087,"Macon, AL",3,Per capita personal income (dollars) 2/,31191
1089,"Madison, AL",1,Personal income (thousands of dollars),16184175
1089,"Madison, AL",2,Population (persons) 1/,353089
1089,"Madison, AL",3,Per capita personal income (dollars) 2/,45836
1091,"Marengo, AL",1,Personal income (thousands of dollars),716215
1091,"Marengo, AL",2,Population (persons) 1/,20028
1091,"Marengo, AL",3,Per capita personal income (dollars) 2/,35761
1093,"Marion, AL",1,Personal income (thousands of dollars),874029
1093,"Marion, AL",2,Population (persons) 1/,30168
1093,"Marion, AL",3,Per capita personal income (dollars) 2/,28972
1095,"Marshall, AL",1,Personal income (thousands of dollars),3125575
1095,"Marshall, AL",2,Population (persons) 1/,94725
1095,"Marshall, AL",3,Per capita personal income (dollars) 2/,32996
1097,"Mobile, AL",1,Personal income (thousands of dollars),14683569
1097,"Mobile, AL",2,Population (persons) 1/,415395
1097,"Mobile, AL",3,Per capita personal income (dollars) 2/,35348
1099,"Monroe, AL",1,Personal income (thousands of dollars),667189
1099,"Monroe, AL",2,Population (persons) 1/,21673
1099,"Monroe, AL",3,Per capita personal income (dollars) 2/,30784
1101,"Montgomery, AL",1,Personal income (thousands of dollars),9168038
1101,"Montgomery, AL",2,Population (persons) 1/,226519
1101,"Montgomery, AL",3,Per capita personal income (dollars) 2/,40474
1103,"Morgan, AL",1,Personal income (thousands of dollars),4345622
1103,"Morgan, AL",2,Population (persons) 1/,119565
1103,"Morgan, AL",3,Per capita personal income (dollars) 2/,36345
1105,"Perry, AL",1,Personal income (thousands of dollars),283906
1105,"Perry, AL",2,Population (persons) 1/,9652
1105,"Perry, AL",3,Per capita personal income (dollars) 2/,29414
1107,"Pickens, AL",1,Personal income (thousands of dollars),628827
1107,"Pickens, AL",2,Population (persons) 1/,20864
1107,"Pickens, AL",3,Per capita personal income (dollars) 2/,30139
1109,"Pike, AL",1,Personal income (thousands of dollars),1167271
1109,"Pike, AL",2,Population (persons) 1/,33046
1109,"Pike, AL",3,Per capita personal income (dollars) 2/,35323
1111,"Randolph, AL",1,Personal income (thousands of dollars),728983
1111,"Randolph, AL",2,Population (persons) 1/,22696
1111,"Randolph, AL",3,Per capita personal income (dollars) 2/,32119
1113,"Russell, AL",1,Personal income (thousands of dollars),1730190
1113,"Russell, AL",2,Population (persons) 1/,59660
1113,"Russell, AL",3,Per capita personal income (dollars) 2/,29001
1115,"St. Clair, AL",1,Personal income (thousands of dollars),2995362
1115,"St. Clair, AL",2,Population (persons) 1/,87074
1115,"St. Clair, AL",3,Per capita personal income (dollars) 2/,34400
1117,"Shelby, AL",1,Personal income (thousands of dollars),10271229
1117,"Shelby, AL",2,Population (persons) 1/,208713
1117,"Shelby, AL",3,Per capita personal income (dollars) 2/,49212
1119,"Sumter, AL",1,Personal income (thousands of dollars),402202
1119,"Sumter, AL",2,Population (persons) 1/,13103
1119,"Sumter, AL",3,Per capita personal income (dollars) 2/,30695
1121,"Talladega, AL",1,Personal income (thousands of dollars),2571791
1121,"Talladega, AL",2,Population (persons) 1/,80862
1121,"Talladega, AL",3,Per capita personal income (dollars) 2/,31805
1123,"Tallapoosa, AL",1,Personal income (thousands of dollars),1468004
1123,"Tallapoosa, AL",2,Population (persons) 1/,40844
1123,"Tallapoosa, AL",3,Per capita personal income (dollars) 2/,35942
1125,"Tuscaloosa, AL",1,Personal income (thousands of dollars),7346471
1125,"Tuscaloosa, AL",2,Population (persons) 1/,203976
1125,"Tuscaloosa, AL",3,Per capita personal income (dollars) 2/,36016
1127,"Walker, AL",1,Personal income (thousands of dollars),2419560
1127,"Walker, AL",2,Population (persons) 1/,65294
1127,"Walker, AL",3,Per capita personal income (dollars) 2/,37056
1129,"Washington, AL",1,Personal income (thousands of dollars),571460
1129,"Washington, AL",2,Population (persons) 1/,16804
1129,"Washington, AL",3,Per capita personal income (dollars) 2/,34007
1131,"Wilcox, AL",1,Personal income (thousands of dollars),311069
1131,"Wilcox, AL",2,Population (persons) 1/,11059
1131,"Wilcox, AL",3,Per capita personal income (dollars) 2/,28128
1133,"Winston, AL",1,Personal income (thousands of dollars),777074
1133,"Winston, AL",2,Population (persons) 1/,23877
1133,"Winston, AL",3,Per capita personal income (dollars) 2/,32545
2010,"Aleutian Islands Census Area, AK*",1,Personal income (thousands of dollars),(NA)
2010,"Aleutian Islands Census Area, AK*",2,Population (persons) 1/,(NA)
2010,"Aleutian Islands Census Area, AK*",3,Per capita personal income (dollars) 2/,(NA)
2013,"Aleutians East Borough, AK*",1,Personal income (thousands of dollars),165750
2013,"Aleutians East Borough, AK*",2,Population (persons) 1/,3341
2013,"Aleutians East Borough, AK*",3,Per capita personal income (dollars) 2/,49611
2016,"Aleutians West Census Area, AK*",1,Personal income (thousands of dollars),299746
2016,"Aleutians West Census Area, AK*",2,Population (persons) 1/,5702
2016,"Aleutians West Census Area, AK*",3,Per capita personal income (dollars) 2/,52569
2020,"Anchorage Municipality, AK",1,Personal income (thousands of dollars),18736528
2020,"Anchorage Municipality, AK",2,Population (persons) 1/,298695
2020,"Anchorage Municipality, AK",3,Per capita personal income (dollars) 2/,62728
2050,"Bethel Census Area, AK*",1,Personal income (thousands of dollars),714739
2050,"Bethel Census Area, AK*",2,Population (persons) 1/,17946
2050,"Bethel Census Area, AK*",3,Per capita personal income (dollars) 2/,39827
2060,"Bristol Bay Borough, AK",1,Personal income (thousands of dollars),58666
2060,"Bristol Bay Borough, AK",2,Population (persons) 1/,892
2060,"Bristol Bay Borough, AK",3,Per capita personal income (dollars) 2/,65769
2068,"Denali Borough, AK*",1,Personal income (thousands of dollars),130050
2068,"Denali Borough, AK*",2,Population (persons) 1/,1919
2068,"Denali Borough, AK*",3,Per capita personal income (dollars) 2/,67770
2070,"Dillingham Census Area, AK*",1,Personal income (thousands of dollars),259691
2070,"Dillingham Census Area, AK*",2,Population (persons) 1/,4997
2070,"Dillingham Census Area, AK*",3,Per capita personal income (dollars) 2/,51969
2090,"Fairbanks North Star Borough, AK",1,Personal income (thousands of dollars),5398526
2090,"Fairbanks North Star Borough, AK",2,Population (persons) 1/,99631
2090,"Fairbanks North Star Borough, AK",3,Per capita personal income (dollars) 2/,54185
2100,"Haines Borough, AK",1,Personal income (thousands of dollars),121451
2100,"Haines Borough, AK",2,Population (persons) 1/,2534
2100,"Haines Borough, AK",3,Per capita personal income (dollars) 2/,47929
2105,"Hoonah-Angoon Census Area, AK*",1,Personal income (thousands of dollars),115088
2105,"Hoonah-Angoon Census Area, AK*",2,Population (persons) 1/,2133
2105,"Hoonah-Angoon Census Area, AK*",3,Per capita personal income (dollars) 2/,53956
2110,"Juneau City and Borough, AK",1,Personal income (thousands of dollars),2053591
2110,"Juneau City and Borough, AK",2,Population (persons) 1/,32756
2110,"Juneau City and Borough, AK",3,Per capita personal income (dollars) 2/,62694
2122,"Kenai Peninsula Borough, AK",1,Personal income (thousands of dollars),3056190
2122,"Kenai Peninsula Borough, AK",2,Population (persons) 1/,58059
2122,"Kenai Peninsula Borough, AK",3,Per capita personal income (dollars) 2/,52639
2130,"Ketchikan Gateway Borough, AK*",1,Personal income (thousands of dollars),866894
2130,"Ketchikan Gateway Borough, AK*",2,Population (persons) 1/,13709
2130,"Ketchikan Gateway Borough, AK*",3,Per capita personal income (dollars) 2/,63235
2150,"Kodiak Island Borough, AK",1,Personal income (thousands of dollars),807817
2150,"Kodiak Island Borough, AK",2,Population (persons) 1/,13889
2150,"Kodiak Island Borough, AK",3,Per capita personal income (dollars) 2/,58162
2158,"Kusilvak Census Area, AK*",1,Personal income (thousands of dollars),242723
2158,"Kusilvak Census Area, AK*",2,Population (persons) 1/,8119
2158,"Kusilvak Census Area, AK*",3,Per capita personal income (dollars) 2/,29896
2164,"Lake and Peninsula Borough, AK*",1,Personal income (thousands of dollars),86567
2164,"Lake and Peninsula Borough, AK*",2,Population (persons) 1/,1563
2164,"Lake and Peninsula Borough, AK*",3,Per capita personal income (dollars) 2/,55385
2170,"Matanuska-Susitna Borough, AK",1,Personal income (thousands of dollars),4706391
2170,"Matanuska-Susitna Borough, AK",2,Population (persons) 1/,101095
2170,"Matanuska-Susitna Borough, AK",3,Per capita personal income (dollars) 2/,46554
2180,"Nome Census Area, AK*",1,Personal income (thousands of dollars),480538
2180,"Nome Census Area, AK*",2,Population (persons) 1/,9846
2180,"Nome Census Area, AK*",3,Per capita personal income (dollars) 2/,48805
2185,"North Slope Borough, AK",1,Personal income (thousands of dollars),357286
2185,"North Slope Borough, AK",2,Population (persons) 1/,9687
2185,"North Slope Borough, AK",3,Per capita personal income (dollars) 2/,36883
2188,"Northwest Arctic Borough, AK",1,Personal income (thousands of dollars),363710
2188,"Northwest Arctic Borough, AK",2,Population (persons) 1/,7752
2188,"Northwest Arctic Borough, AK",3,Per capita personal income (dollars) 2/,46918
2195,"Petersburg Borough, AK*",1,Personal income (thousands of dollars),210708
2195,"Petersburg Borough, AK*",2,Population (persons) 1/,3177
2195,"Petersburg Borough, AK*",3,Per capita personal income (dollars) 2/,66323
2198,"Prince of Wales-Hyder Census Area, AK*",1,Personal income (thousands of dollars),254941
2198,"Prince of Wales-Hyder Census Area, AK*",2,Population (persons) 1/,6341
2198,"Prince of Wales-Hyder Census Area, AK*",3,Per capita personal income (dollars) 2/,40205
2201,"Prince of Wales-Outer Ketchikan Census Area, AK*",1,Personal income (thousands of dollars),(NA)
2201,"Prince of Wales-Outer Ketchikan Census Area, AK*",2,Population (persons) 1/,(NA)
2201,"Prince of Wales-Outer Ketchikan Census Area, AK*",3,Per capita personal income (dollars) 2/,(NA)
2220,"Sitka City and Borough, AK",1,Personal income (thousands of dollars),568309
2220,"Sitka City and Borough, AK",2,Population (persons) 1/,8863
2220,"Sitka City and Borough, AK",3,Per capita personal income (dollars) 2/,64122
2230,"Skagway Municipality, AK*",1,Personal income (thousands of dollars),82627
2230,"Skagway Municipality, AK*",2,Population (persons) 1/,1057
2230,"Skagway Municipality, AK*",3,Per capita personal income (dollars) 2/,78171
2231,"Skagway-Yakutat-Angoon Census Area, AK*",1,Personal income (thousands of dollars),(NA)
2231,"Skagway-Yakutat-Angoon Census Area, AK*",2,Population (persons) 1/,(NA)
2231,"Skagway-Yakutat-Angoon Census Area, AK*",3,Per capita personal income (dollars) 2/,(NA)
2232,"Skagway-Hoonah-Angoon Census Area, AK*",1,Personal income (thousands of dollars),(NA)
2232,"Skagway-Hoonah-Angoon Census Area, AK*",2,Population (persons) 1/,(NA)
2232,"Skagway-Hoonah-Angoon Census Area, AK*",3,Per capita personal income (dollars) 2/,(NA)
2240,"Southeast Fairbanks Census Area, AK*",1,Personal income (thousands of dollars),295826
2240,"Southeast Fairbanks Census Area, AK*",2,Population (persons) 1/,6839
2240,"Southeast Fairbanks Census Area, AK*",3,Per capita personal income (dollars) 2/,43256
2261,"Valdez-Cordova Census Area, AK*",1,Personal income (thousands of dollars),592019
2261,"Valdez-Cordova Census Area, AK*",2,Population (persons) 1/,9362
2261,"Valdez-Cordova Census Area, AK*",3,Per capita personal income (dollars) 2/,63236
2275,"Wrangell City and Borough, AK*",1,Personal income (thousands of dollars),112464
2275,"Wrangell City and Borough, AK*",2,Population (persons) 1/,2382
2275,"Wrangell City and Borough, AK*",3,Per capita personal income (dollars) 2/,47214
2280,"Wrangell-Petersburg Census Area, AK*",1,Personal income (thousands of dollars),(NA)
2280,"Wrangell-Petersburg Census Area, AK*",2,Population (persons) 1/,(NA)
2280,"Wrangell-Petersburg Census Area, AK*",3,Per capita personal income (dollars) 2/,(NA)
2282,"Yakutat City and Borough, AK*",1,Personal income (thousands of dollars),36984
2282,"Yakutat City and Borough, AK*",2,Population (persons) 1/,613
2282,"Yakutat City and Borough, AK*",3,Per capita personal income (dollars) 2/,60333
2290,"Yukon-Koyukuk Census Area, AK*",1,Personal income (thousands of dollars),284926
2290,"Yukon-Koyukuk Census Area, AK*",2,Population (persons) 1/,5533
2290,"Yukon-Koyukuk Census Area, AK*",3,Per capita personal income (dollars) 2/,51496
2901,"Aleutian Islands Division, AK*",1,Personal income (thousands of dollars),(NA)
2901,"Aleutian Islands Division, AK*",2,Population (persons) 1/,(NA)
2901,"Aleutian Islands Division, AK*",3,Per capita personal income (dollars) 2/,(NA)
2903,"Angoon Division, AK*",1,Personal income (thousands of dollars),(NA)
2903,"Angoon Division, AK*",2,Population (persons) 1/,(NA)
2903,"Angoon Division, AK*",3,Per capita personal income (dollars) 2/,(NA)
2904,"Barrow-North Slope Division, AK*",1,Personal income (thousands of dollars),(NA)
2904,"Barrow-North Slope Division, AK*",2,Population (persons) 1/,(NA)
2904,"Barrow-North Slope Division, AK*",3,Per capita personal income (dollars) 2/,(NA)
2905,"Bethel Division, AK*",1,Personal income (thousands of dollars),(NA)
2905,"Bethel Division, AK*",2,Population (persons) 1/,(NA)
2905,"Bethel Division, AK*",3,Per capita personal income (dollars) 2/,(NA)
2907,"Bristol Bay Division, AK*",1,Personal income (thousands of dollars),(NA)
2907,"Bristol Bay Division, AK*",2,Population (persons) 1/,(NA)
2907,"Bristol Bay Division, AK*",3,Per capita personal income (dollars) 2/,(NA)
2908,"Cordova-McCarthy Division, AK*",1,Personal income (thousands of dollars),(NA)
2908,"Cordova-McCarthy Division, AK*",2,Population (persons) 1/,(NA)
2908,"Cordova-McCarthy Division, AK*",3,Per capita personal income (dollars) 2/,(NA)
2910,"Haines Division, AK*",1,Personal income (thousands of dollars),(NA)
2910,"Haines Division, AK*",2,Population (persons) 1/,(NA)
2910,"Haines Division, AK*",3,Per capita personal income (dollars) 2/,(NA)
2912,"Kenai-Cook Inlet Division, AK*",1,Personal income (thousands of dollars),(NA)
2912,"Kenai-Cook Inlet Division, AK*",2,Population (persons) 1/,(NA)
2912,"Kenai-Cook Inlet Division, AK*",3,Per capita personal income (dollars) 2/,(NA)
2916,"Kuskokwim Division, AK*",1,Personal income (thousands of dollars),(NA)
2916,"Kuskokwim Division, AK*",2,Population (persons) 1/,(NA)
2916,"Kuskokwim Division, AK*",3,Per capita personal income (dollars) 2/,(NA)
2919,"Outer Ketchikan Division, AK*",1,Personal income (thousands of dollars),(NA)
2919,"Outer Ketchikan Division, AK*",2,Population (persons) 1/,(NA)
2919,"Outer Ketchikan Division, AK*",3,Per capita personal income (dollars) 2/,(NA)
2920,"Prince of Wales Division, AK*",1,Personal income (thousands of dollars),(NA)
2920,"Prince of Wales Division, AK*",2,Population (persons) 1/,(NA)
2920,"Prince of Wales Division, AK*",3,Per capita personal income (dollars) 2/,(NA)
2921,"Seward Division, AK*",1,Personal income (thousands of dollars),(NA)
2921,"Seward Division, AK*",2,Population (persons) 1/,(NA)
2921,"Seward Division, AK*",3,Per capita personal income (dollars) 2/,(NA)
2922,"Sitka Division, AK*",1,Personal income (thousands of dollars),(NA)
2922,"Sitka Division, AK*",2,Population (persons) 1/,(NA)
2922,"Sitka Division, AK*",3,Per capita personal income (dollars) 2/,(NA)
2923,"Skagway-Yakutat Division, AK*",1,Personal income (thousands of dollars),(NA)
2923,"Skagway-Yakutat Division, AK*",2,Population (persons) 1/,(NA)
2923,"Skagway-Yakutat Division, AK*",3,Per capita personal income (dollars) 2/,(NA)
2924,"Southeast Fairbanks Division, AK*",1,Personal income (thousands of dollars),(NA)
2924,"Southeast Fairbanks Division, AK*",2,Population (persons) 1/,(NA)
2924,"Southeast Fairbanks Division, AK*",3,Per capita personal income (dollars) 2/,(NA)
2925,"Upper Yukon Division, AK*",1,Personal income (thousands of dollars),(NA)
2925,"Upper Yukon Division, AK*",2,Population (persons) 1/,(NA)
2925,"Upper Yukon Division, AK*",3,Per capita personal income (dollars) 2/,(NA)
2926,"Valdez-Chitina-Whittier Division, AK*",1,Personal income (thousands of dollars),(NA)
2926,"Valdez-Chitina-Whittier Division, AK*",2,Population (persons) 1/,(NA)
2926,"Valdez-Chitina-Whittier Division, AK*",3,Per capita personal income (dollars) 2/,(NA)
2928,"Wrangell-Petersburg Division, AK*",1,Personal income (thousands of dollars),(NA)
2928,"Wrangell-Petersburg Division, AK*",2,Population (persons) 1/,(NA)
2928,"Wrangell-Petersburg Division, AK*",3,Per capita personal income (dollars) 2/,(NA)
2929,"Yukon-Koyukuk Division, AK*",1,Personal income (thousands of dollars),(NA)
2929,"Yukon-Koyukuk Division, AK*",2,Population (persons) 1/,(NA)
2929,"Yukon-Koyukuk Division, AK*",3,Per capita personal income (dollars) 2/,(NA)
4001,"Apache, AZ",1,Personal income (thousands of dollars),2115405
4001,"Apache, AZ",2,Population (persons) 1/,71474
4001,"Apache, AZ",3,Per capita personal income (dollars) 2/,29597
4003,"Cochise, AZ",1,Personal income (thousands of dollars),4821097
4003,"Cochise, AZ",2,Population (persons) 1/,126427
4003,"Cochise, AZ",3,Per capita personal income (dollars) 2/,38133
4005,"Coconino, AZ",1,Personal income (thousands of dollars),5705476
4005,"Coconino, AZ",2,Population (persons) 1/,139097
4005,"Coconino, AZ",3,Per capita personal income (dollars) 2/,41018
4007,"Gila, AZ",1,Personal income (thousands of dollars),1917248
4007,"Gila, AZ",2,Population (persons) 1/,53159
4007,"Gila, AZ",3,Per capita personal income (dollars) 2/,36066
4009,"Graham, AZ",1,Personal income (thousands of dollars),1119852
4009,"Graham, AZ",2,Population (persons) 1/,37666
4009,"Graham, AZ",3,Per capita personal income (dollars) 2/,29731
4011,"Greenlee, AZ",1,Personal income (thousands of dollars),354856
4011,"Greenlee, AZ",2,Population (persons) 1/,9529
4011,"Greenlee, AZ",3,Per capita personal income (dollars) 2/,37240
4012,"La Paz, AZ*",1,Personal income (thousands of dollars),603816
4012,"La Paz, AZ*",2,Population (persons) 1/,20152
4012,"La Paz, AZ*",3,Per capita personal income (dollars) 2/,29963
4013,"Maricopa, AZ",1,Personal income (thousands of dollars),175437829
4013,"Maricopa, AZ",2,Population (persons) 1/,4167947
4013,"Maricopa, AZ",3,Per capita personal income (dollars) 2/,42092
4015,"Mohave, AZ",1,Personal income (thousands of dollars),6040669
4015,"Mohave, AZ",2,Population (persons) 1/,204737
4015,"Mohave, AZ",3,Per capita personal income (dollars) 2/,29505
4017,"Navajo, AZ",1,Personal income (thousands of dollars),3154284
4017,"Navajo, AZ",2,Population (persons) 1/,108277
4017,"Navajo, AZ",3,Per capita personal income (dollars) 2/,29132
4019,"Pima, AZ",1,Personal income (thousands of dollars),38922402
4019,"Pima, AZ",2,Population (persons) 1/,1010025
4019,"Pima, AZ",3,Per capita personal income (dollars) 2/,38536
4021,"Pinal, AZ",1,Personal income (thousands of dollars),11255255
4021,"Pinal, AZ",2,Population (persons) 1/,406584
4021,"Pinal, AZ",3,Per capita personal income (dollars) 2/,27682
4023,"Santa Cruz, AZ",1,Personal income (thousands of dollars),1563237
4023,"Santa Cruz, AZ",2,Population (persons) 1/,46461
4023,"Santa Cruz, AZ",3,Per capita personal income (dollars) 2/,33646
4025,"Yavapai, AZ",1,Personal income (thousands of dollars),7900004
4025,"Yavapai, AZ",2,Population (persons) 1/,222255
4025,"Yavapai, AZ",3,Per capita personal income (dollars) 2/,35545
4027,"Yuma, AZ*",1,Personal income (thousands of dollars),6449702
4027,"Yuma, AZ*",2,Population (persons) 1/,204275
4027,"Yuma, AZ*",3,Per capita personal income (dollars) 2/,31574
5001,"Arkansas, AR",1,Personal income (thousands of dollars),730747
5001,"Arkansas, AR",2,Population (persons) 1/,18433
5001,"Arkansas, AR",3,Per capita personal income (dollars) 2/,39643
5003,"Ashley, AR",1,Personal income (thousands of dollars),667087
5003,"Ashley, AR",2,Population (persons) 1/,20838
5003,"Ashley, AR",3,Per capita personal income (dollars) 2/,32013
5005,"Baxter, AR",1,Personal income (thousands of dollars),1426629
5005,"Baxter, AR",2,Population (persons) 1/,41053
5005,"Baxter, AR",3,Per capita personal income (dollars) 2/,34751
5007,"Benton, AR",1,Personal income (thousands of dollars),17923306
