date,max_temp,min_temp,mean_temp,mean_rh,events,cloud_cover
2008-5-26,57,50,54,88,Rain,6
2008-5-27,59,46,52,78,NA,2
2008-5-28,59,44,52,81,NA,1
2008-5-29,59,39,49,86,NA,1
2008-5-30,60,44,52,90,Rain,4
2008-5-31,60,50,55,92,Fog-Rain,4
2008-6-1,62,46,54,92,Fog-Rain,5
2008-6-2,60,51,56,88,Rain,4
2008-6-3,59,44,52,84,Rain,2
2008-6-4,59,46,54,74,Rain,3
2008-6-5,59,39,49,78,NA,4
2008-6-6,60,50,55,82,Rain,5
2008-6-7,62,50,56,86,Rain,5
2008-6-8,60,48,54,72,Rain,4
2008-6-9,60,53,56,78,Rain,4
2008-6-10,62,48,56,85,NA,3
2008-6-11,59,46,52,83,NA,7
2008-6-12,60,51,56,76,NA,6
2008-6-13,62,50,58,84,NA,6
2008-6-14,62,51,56,87,Rain,5
2008-6-15,64,53,58,90,Rain,4
2008-6-16,64,59,62,89,Rain,6
2008-6-17,62,57,60,93,Rain,6
2008-6-18,57,50,54,71,NA,4
2008-6-19,55,48,52,78,NA,6
2008-6-20,57,48,52,82,NA,4
2008-6-21,60,48,54,89,Rain,4
2008-6-22,62,55,60,93,Rain,6
2008-6-23,57,50,54,83,Rain,5
2008-6-24,55,46,50,77,Rain,5
2008-6-25,59,50,54,78,Rain-Thunderstorm,5
2008-6-26,59,51,55,82,Rain,5
2008-6-27,59,48,54,83,Rain-Thunderstorm,5
2008-6-28,55,46,50,79,Rain-Thunderstorm,6
2008-6-29,55,44,50,84,Rain,4
2008-6-30,55,44,50,81,Rain,2
2008-7-1,57,46,52,90,Rain,5
2008-7-2,60,46,53,82,Rain,4
2008-7-3,64,48,56,86,Rain,4
2008-7-4,59,50,54,83,Rain,4
2008-7-5,51,42,46,75,Rain-Thunderstorm,5
2008-7-6,53,42,48,69,Rain-Thunderstorm,3
2008-7-7,55,35,45,87,Rain,3
2008-7-8,53,35,44,78,NA,1
2008-7-9,53,37,45,85,NA,0
2008-7-10,57,35,46,88,Rain,2
2008-7-11,59,51,55,89,Rain,6
2008-7-12,60,53,58,90,Rain,6
2008-7-13,59,46,52,92,NA,2
2008-7-14,57,42,50,92,Fog,5
2008-7-15,55,46,50,87,NA,5
2008-7-16,55,46,50,91,Rain,6
2008-7-17,60,51,56,92,Rain,6
2008-7-18,62,53,58,94,Rain,6
2008-7-19,64,55,60,91,Rain,5
2008-7-20,60,50,55,85,Rain,5
2008-7-21,57,48,52,79,Rain,3
2008-7-22,59,50,54,90,Rain,6
2008-7-23,59,53,56,80,Rain,4
2008-7-24,57,50,54,84,Rain,3
2008-7-25,53,42,48,78,NA,3
2008-7-26,55,46,50,88,Rain,6
2008-7-27,53,50,52,88,Rain,7
2008-7-28,59,46,52,83,Rain,5
2008-7-29,57,50,54,93,Rain,6
2008-7-30,60,55,58,92,Rain,5
2008-7-31,60,53,56,81,Rain,5
2008-8-1,59,51,55,79,Rain,5
2008-8-2,57,50,54,87,Rain,6
2008-8-3,59,51,56,85,Rain,5
2008-8-4,59,48,54,84,Rain,3
2008-8-5,55,46,50,79,Rain,3
2008-8-6,57,50,54,82,Rain,3
2008-8-7,57,44,50,80,NA,5
2008-8-8,62,51,56,87,Rain,5
2008-8-9,53,42,48,87,Rain,5
2008-8-10,51,37,44,70,NA,2
2008-8-11,55,42,48,76,Rain,4
2008-8-12,60,51,56,87,Rain,6
2008-8-13,55,48,52,83,Rain,4
2008-8-14,57,48,52,78,Rain-Thunderstorm,4
2008-8-15,59,48,54,85,Rain-Thunderstorm,6
2008-8-16,57,46,52,81,Rain-Thunderstorm,4
2008-8-17,50,44,47,90,Rain,5
2008-8-18,53,42,48,80,Rain,4
2008-8-19,53,46,50,80,Rain,4
2008-8-20,55,42,48,82,Rain,4
2008-8-21,59,50,54,84,Rain,5
2008-8-22,59,48,54,85,NA,3
2008-8-23,59,51,55,89,Rain,6
2008-8-24,62,51,56,92,Rain,6
2008-8-25,62,48,55,92,Fog,4
2008-8-26,60,53,56,90,Rain,3
2008-8-27,59,51,55,87,NA,4
2008-8-28,59,53,56,83,Rain,3
2008-8-29,59,48,54,86,NA,4
2008-8-30,57,48,52,84,NA,5
2008-8-31,59,46,52,78,NA,4
2008-9-1,60,46,53,82,Rain,4
2008-9-2,60,46,53,83,Rain,3
2008-9-3,59,48,54,86,NA,4
2008-9-4,64,48,56,84,NA,3
2008-9-5,57,46,52,88,Fog,5
2008-9-6,57,46,52,77,NA,4
2008-9-7,62,42,52,80,NA,3
2008-9-8,62,55,58,88,Rain,6
2008-9-9,64,50,58,90,NA,5
2008-9-10,59,48,54,81,Rain-Thunderstorm,4
2008-9-11,60,51,56,80,Rain,5
2008-9-12,60,51,56,83,Rain,4
2008-9-13,57,48,52,83,Rain,3
2008-9-14,59,51,55,75,Rain,4
2008-9-15,62,44,53,88,Fog,3
2008-9-16,62,50,56,86,NA,3
2008-9-17,60,51,56,78,Rain,5
2008-9-18,59,51,55,79,Rain,4
2008-9-19,60,51,56,81,Rain,4
2008-9-20,62,50,56,79,NA,3
2008-9-21,60,46,53,79,NA,2
2008-9-22,62,51,56,81,Rain,4
2008-9-23,66,53,60,84,NA,6
2008-9-24,64,53,58,76,NA,4
2008-9-25,62,53,58,81,Rain,5
2008-9-26,59,51,55,68,NA,2
2008-9-27,62,48,55,78,Rain,5
2008-9-28,60,50,56,65,Rain,3
2008-9-29,62,44,53,80,Rain,4
2008-9-30,60,53,56,76,Rain,4
2008-10-1,59,48,54,66,Rain,4
2008-10-2,59,50,54,69,Rain,4
2008-10-3,60,53,56,74,NA,5
2008-10-4,64,57,60,77,NA,4
2008-10-5,62,59,60,81,NA,5
2008-10-6,62,59,60,91,Rain,7
2008-10-7,68,57,62,85,Rain,6
2008-10-8,60,53,56,75,Rain,4
2008-10-9,59,51,55,75,Rain,4
2008-10-10,59,50,54,67,Rain,4
2008-10-11,59,53,56,77,Rain,6
2008-10-12,66,48,57,74,NA,5
2008-10-13,64,48,56,76,NA,2
2008-10-14,66,50,58,77,NA,4
2008-10-15,66,50,58,79,NA,3
2008-10-16,68,57,62,86,Rain,6
2008-10-17,60,53,58,82,Rain,5
2008-10-18,60,53,56,75,Rain,5
2008-10-19,60,51,56,76,Rain,3
2008-10-20,62,50,56,78,NA,2
2008-10-21,64,51,58,70,NA,4
2008-10-22,66,51,58,75,NA,4
2008-10-23,66,55,60,87,Rain,6
2008-10-24,66,59,62,82,Rain,6
2008-10-25,64,55,60,85,Rain,6
2008-10-26,59,50,54,75,Rain,4
2008-10-27,60,42,51,69,Rain,3
2008-10-28,62,57,60,83,Rain,6
2008-10-29,60,55,58,82,Rain,6
2008-10-30,59,53,56,66,Rain,4
2008-10-31,60,53,56,67,Rain,5
2008-11-1,60,53,56,71,Rain,6
2008-11-2,64,55,60,78,Rain,5
2008-11-3,66,51,58,77,NA,5
2008-11-4,66,57,62,78,NA,6
2008-11-5,60,51,56,77,Rain,5
2008-11-6,62,51,56,68,Rain,5
2008-11-7,60,50,55,70,Rain,4
2008-11-8,64,46,55,67,NA,4
2008-11-9,64,55,60,69,NA,4
2008-11-10,64,55,60,72,NA,5
2008-11-11,68,51,60,77,NA,4
2008-11-12,69,51,60,83,NA,3
2008-11-13,64,57,60,85,NA,5
2008-11-14,71,57,64,76,NA,6
2008-11-15,69,57,64,72,NA,3
2008-11-16,68,57,62,67,NA,4
2008-11-17,64,55,60,81,Rain,4
2008-11-18,64,55,60,67,Rain,3
2008-11-19,62,55,58,60,NA,4
2008-11-20,66,53,62,64,NA,2
2008-11-21,68,46,57,67,NA,1
2008-11-22,69,57,63,67,NA,3
2008-11-23,69,62,66,80,Rain,4
2008-11-24,66,62,64,92,Rain,8
2008-11-25,71,60,66,83,Rain,5
2008-11-26,71,59,65,79,Rain,3
2008-11-27,66,57,62,68,NA,4
2008-11-28,71,57,64,73,NA,2
2008-11-29,69,55,62,78,NA,3
2008-11-30,77,59,68,76,NA,2
2008-12-1,68,60,64,84,Rain,5
2008-12-2,68,59,64,79,Rain,5
2008-12-3,71,60,66,75,NA,4
2008-12-4,73,57,65,73,NA,2
2008-12-5,71,60,66,77,Rain,2
2008-12-6,66,55,60,66,NA,2
2008-12-7,75,55,65,64,NA,1
2008-12-8,68,57,62,76,Rain,2
2008-12-9,69,60,64,87,Rain,5
2008-12-10,68,59,64,77,Rain,5
2008-12-11,64,59,62,65,NA,6
2008-12-12,69,57,63,72,NA,4
2008-12-13,69,57,63,65,NA,3
2008-12-14,71,59,65,73,Rain,3
2008-12-15,71,62,66,82,Rain,5
2008-12-16,78,62,70,75,Rain,4
2008-12-17,66,59,62,71,Rain,5
2008-12-18,69,59,64,62,NA,3
2008-12-19,75,57,66,70,NA,3
2008-12-20,75,59,68,79,Rain,3
2008-12-21,69,57,63,72,Rain,3
2008-12-22,73,57,65,68,NA,4
2008-12-23,71,55,63,73,Rain,4
2008-12-24,66,55,60,87,Rain,7
2008-12-25,68,60,64,62,NA,4
2008-12-26,73,51,62,64,NA,1
2008-12-27,73,57,65,73,NA,2
2008-12-28,73,57,65,74,NA,1
2008-12-29,69,62,66,87,Rain,6
2008-12-30,71,62,68,84,Rain,5
2008-12-31,75,59,67,78,Rain,2
2009-1-1,75,64,70,73,NA,3
2009-1-2,77,64,70,85,Rain,4
2009-1-3,78,62,70,81,Rain,5
2009-1-4,69,60,64,62,NA,2
2009-1-5,69,55,62,70,NA,1
2009-1-6,71,55,63,70,NA,1
2009-1-7,71,55,63,73,NA,2
2009-1-8,78,59,68,72,NA,3
2009-1-9,78,64,71,77,NA,3
2009-1-10,73,66,70,82,Rain,3
2009-1-11,71,60,66,80,Rain,4
2009-1-12,75,60,68,70,NA,1
2009-1-13,71,64,68,79,NA,3
2009-1-14,75,62,68,74,NA,1
2009-1-15,73,57,65,70,NA,2
2009-1-16,71,62,66,70,NA,5
2009-1-17,75,62,68,70,NA,4
2009-1-18,69,59,64,73,Rain,4
2009-1-19,68,59,64,68,Rain,3
2009-1-20,69,60,64,69,Rain,3
2009-1-21,69,57,63,70,NA,3
2009-1-22,75,53,64,74,NA,2
2009-1-23,77,57,67,74,NA,2
2009-1-24,75,59,67,73,NA,1
2009-1-25,75,59,67,77,NA,2
2009-1-26,75,64,70,73,NA,3
2009-1-27,73,66,70,76,Rain,5
2009-1-28,73,59,66,69,NA,3
2009-1-29,71,59,65,70,NA,2
2009-1-30,71,62,66,70,NA,5
2009-1-31,73,66,70,76,NA,6
2009-2-1,73,66,70,76,Rain,5
2009-2-2,73,66,70,72,NA,4
2009-2-3,80,64,72,66,NA,3
2009-2-4,78,60,69,75,NA,2
2009-2-5,78,64,71,71,NA,2
2009-2-6,80,64,72,66,NA,2
2009-2-7,78,60,69,74,NA,1
2009-2-8,78,66,72,74,NA,5
2009-2-9,78,64,71,82,Rain,5
2009-2-10,78,71,74,87,Rain,6
2009-2-11,80,68,74,87,Rain,4
2009-2-12,82,71,76,82,Rain,5
2009-2-13,71,62,68,74,Rain,5
2009-2-14,64,57,60,82,Rain,4
2009-2-15,73,57,65,67,NA,1
2009-2-16,73,62,68,75,Rain,3
2009-2-17,78,62,70,74,NA,3
2009-2-18,75,62,68,87,Rain,4
2009-2-19,78,64,71,82,Rain,3
2009-2-20,73,69,71,93,Rain,6
2009-2-21,75,68,72,84,NA,5
2009-2-22,73,64,68,79,Rain,4
2009-2-23,71,62,66,71,Rain,2
2009-2-24,71,60,66,75,Rain,3
2009-2-25,71,59,65,71,NA,2
2009-2-26,71,55,63,74,NA,2
2009-2-27,73,60,66,77,Rain,2
2009-2-28,73,64,68,90,Rain,5
2009-3-1,77,62,70,81,NA,2
2009-3-2,73,64,68,79,NA,2
2009-3-3,71,62,66,77,NA,2
2009-3-4,71,62,66,67,NA,2
2009-3-5,69,66,68,76,Rain,5
2009-3-6,77,68,72,90,Rain,6
2009-3-7,75,66,70,84,NA,3
2009-3-8,71,64,68,73,Rain,3
2009-3-9,68,62,65,69,Rain,2
2009-3-10,68,60,64,64,Rain,2
2009-3-11,66,59,62,70,Rain,4
2009-3-12,66,53,60,75,Rain,3
2009-3-13,68,59,64,80,Rain,4
2009-3-14,66,53,60,83,Rain,3
2009-3-15,71,57,64,69,NA,2
2009-3-16,71,57,64,71,NA,2
2009-3-17,75,57,66,77,NA,2
2009-3-18,73,60,66,83,NA,4
2009-3-19,71,62,66,82,Rain,3
2009-3-20,68,62,65,69,NA,5
2009-3-21,69,60,64,68,NA,4
2009-3-22,69,55,62,75,NA,2
2009-3-23,68,57,62,67,NA,2
2009-3-24,66,50,58,68,NA,2
2009-3-25,69,48,58,79,NA,1
2009-3-26,68,57,62,74,NA,4
2009-3-27,68,50,59,75,NA,2
2009-3-28,69,51,60,78,NA,1
2009-3-29,69,53,61,80,NA,2
2009-3-30,69,51,60,78,NA,3
2009-3-31,68,60,64,73,NA,4
2009-4-1,69,57,63,64,Rain,1
2009-4-2,66,48,57,61,NA,1
2009-4-3,68,48,58,73,NA,2
2009-4-4,71,50,60,71,NA,2
2009-4-5,71,53,62,72,NA,1
2009-4-6,71,53,62,76,Rain,2
2009-4-7,69,59,64,76,NA,2
2009-4-8,64,53,58,78,Rain,3
2009-4-9,59,50,54,76,Rain,4
2009-4-10,64,41,52,76,NA,1
2009-4-11,64,50,57,87,Rain,3
2009-4-12,64,59,62,72,NA,6
2009-4-13,68,55,62,78,NA,3
2009-4-14,68,57,62,83,Rain,4
2009-4-15,69,55,62,78,NA,2
2009-4-16,69,53,61,73,NA,2
2009-4-17,66,51,58,79,NA,3
2009-4-18,68,57,62,69,NA,3
2009-4-19,66,59,62,74,Rain,5
2009-4-20,64,57,60,90,Rain,5
2009-4-21,60,51,56,70,Rain,2
2009-4-22,62,48,55,72,NA,3
2009-4-23,64,50,57,69,NA,2
2009-4-24,68,59,64,67,NA,3
2009-4-25,68,62,65,79,Rain,3
2009-4-26,66,60,63,90,Rain,5
2009-4-27,71,64,68,83,NA,4
2009-4-28,71,64,68,85,Rain,5
2009-4-29,68,60,64,84,Rain,4
2009-4-30,66,55,60,80,Rain,2
2009-5-1,64,51,58,76,Rain,1
2009-5-2,55,50,52,86,Rain,3
2009-5-3,62,48,55,71,NA,1
2009-5-4,60,44,52,79,NA,2
2009-5-5,64,46,55,80,Rain,3
2009-5-6,62,53,58,76,Rain,3
2009-5-7,60,46,53,81,Rain,3
2009-5-8,57,50,54,89,Rain-Thunderstorm,3
2009-5-9,57,50,54,79,Rain-Hail,3
2009-5-10,59,48,54,84,Rain,4
2009-5-11,53,48,50,86,Rain,5
2009-5-12,55,48,52,84,Rain,3
2009-5-13,60,46,53,81,Rain,1
2009-5-14,62,48,55,85,Rain,3
2009-5-15,64,46,55,85,NA,3
2009-5-16,68,55,62,87,NA,2
2009-5-17,68,53,62,87,Rain,3
2009-5-18,64,51,58,86,Fog-Rain,2
2009-5-19,60,51,56,75,Rain,3
2009-5-20,55,44,50,77,Rain,3
2009-5-21,51,41,46,73,Rain,2
2009-5-22,57,37,47,83,Rain,3
2009-5-23,55,41,48,73,NA,1
2009-5-24,57,42,50,82,Rain,4
2009-5-25,59,50,54,83,Rain,3
2009-5-26,57,51,54,75,NA,2
2009-5-27,62,50,56,81,NA,1
2009-5-28,59,44,52,84,NA,4
2009-5-29,60,44,52,90,Fog-Rain,2
2009-5-30,60,50,55,91,Rain,3
2009-5-31,57,41,49,77,Rain,2
2009-6-1,51,39,45,66,NA,1
2009-6-2,53,41,47,79,NA,1
2009-6-3,55,35,45,85,NA,1
2009-6-4,55,33,44,84,NA,1
2009-6-5,57,33,45,87,Fog,3
2009-6-6,57,48,52,83,Rain,3
2009-6-7,53,44,48,85,NA,2
2009-6-8,55,42,48,76,NA,3
2009-6-9,57,51,54,88,Rain,4
2009-6-10,60,51,56,94,Rain,6
2009-6-11,62,53,58,89,Fog-Rain,4
2009-6-12,59,55,57,91,Rain,5
2009-6-13,60,48,54,86,Rain,3
2009-6-14,57,50,54,89,Rain,5
2009-6-15,59,51,56,86,Rain,3
2009-6-16,57,48,52,79,Rain,3
2009-6-17,51,37,44,71,NA,1
2009-6-18,51,39,45,78,Rain,1
2009-6-19,55,35,45,78,NA,3
2009-6-20,55,46,50,71,NA,2
2009-6-21,51,35,43,80,NA,1
2009-6-22,53,37,45,83,NA,3
2009-6-23,51,37,44,82,NA,2
2009-6-24,51,41,46,85,NA,3
2009-6-25,55,41,48,85,NA,4
2009-6-26,59,48,54,88,Rain,3
2009-6-27,59,51,55,96,Fog,6
2009-6-28,60,51,56,95,Fog-Rain,6
2009-6-29,55,50,52,90,Rain,4
2009-6-30,55,50,52,80,Rain,1
2009-7-1,55,46,52,78,NA,3
